,recommand_1,recommand_2,recommand_3,recommand_4,recommand_5
5501147671,Miche Bloomin,Purish,CureQ,DASODA,KOSE
5303560750,DASODA,FLOWFUSHI ,ANGFA,LSY,BEAUTYMAKER
5603832880,DASODA,Miche Bloomin,others,KOSE,BEAUTYMAKER
66060094B0,LSY,BEAUTYMAKER,CureQ,others,ANGFA
5501635871,Miche Bloomin,DASODA,CureQ,KOSE,FLOWFUSHI 
5006919923,FLOWFUSHI ,others,Miche Bloomin,LSY,KOSE
70005484F1,Miche Bloomin,ANGFA,KOSE,BEAUTYMAKER,CureQ
70047763F2,FLOWFUSHI ,ANGFA,BEAUTYMAKER,others,CureQ
5706770992,others,LSY,CureQ,ANGFA,KOSE
4804482902,Miche Bloomin,DASODA,BEAUTYMAKER,others,FLOWFUSHI 
70025363F5,others,DASODA,ANGFA,FLOWFUSHI ,BEAUTYMAKER
4806970505,others,LSY,Purish,ANGFA,DASODA
70052187F0,LSY,Miche Bloomin,ANGFA,CureQ,FLOWFUSHI 
5102149631,Miche Bloomin,DASODA,others,ANGFA,Purish
68025228D1,KOSE,FLOWFUSHI ,DASODA,Purish,Miche Bloomin
68051448D1,CureQ,LSY,BEAUTYMAKER,Purish,others
5706969190,Purish,LSY,FLOWFUSHI ,BEAUTYMAKER,others
4903980012,ANGFA,BEAUTYMAKER,Miche Bloomin,Purish,DASODA
4802739705,Purish,FLOWFUSHI ,DASODA,LSY,CureQ
5303069951,BEAUTYMAKER,Purish,FLOWFUSHI ,others,LSY
6.90701E+11,BEAUTYMAKER,others,Miche Bloomin,ANGFA,KOSE
70002714F0,others,Miche Bloomin,DASODA,KOSE,BEAUTYMAKER
5502455071,BEAUTYMAKER,Purish,DASODA,ANGFA,LSY
66016135B5,KOSE,Miche Bloomin,DASODA,CureQ,others
5001504725,LSY,Purish,others,ANGFA,FLOWFUSHI 
5700858491,LSY,BEAUTYMAKER,Miche Bloomin,DASODA,ANGFA
5102126932,Purish,DASODA,CureQ,FLOWFUSHI ,others
5703160390,DASODA,Miche Bloomin,others,BEAUTYMAKER,KOSE
65044293A4,BEAUTYMAKER,FLOWFUSHI ,ANGFA,LSY,KOSE
67014735C3,KOSE,Miche Bloomin,LSY,CureQ,BEAUTYMAKER
5300165354,BEAUTYMAKER,others,DASODA,LSY,KOSE
5601777584,KOSE,CureQ,Miche Bloomin,BEAUTYMAKER,Purish
5203351942,KOSE,Purish,others,DASODA,CureQ
5505079472,BEAUTYMAKER,Purish,ANGFA,LSY,KOSE
4906579313,ANGFA,BEAUTYMAKER,DASODA,others,FLOWFUSHI 
5600261180,DASODA,BEAUTYMAKER,Purish,ANGFA,Miche Bloomin
5503066274,Miche Bloomin,KOSE,BEAUTYMAKER,FLOWFUSHI ,LSY
5007079925,CureQ,LSY,DASODA,FLOWFUSHI ,Purish
70001425F2,others,Purish,KOSE,DASODA,CureQ
5704243793,KOSE,DASODA,BEAUTYMAKER,FLOWFUSHI ,others
67034684C0,LSY,others,ANGFA,CureQ,BEAUTYMAKER
65069461A3,Miche Bloomin,KOSE,DASODA,CureQ,Purish
4901325410,CureQ,others,Purish,KOSE,Miche Bloomin
70025923F4,LSY,FLOWFUSHI ,Purish,DASODA,BEAUTYMAKER
4803019306,DASODA,LSY,Purish,CureQ,FLOWFUSHI 
6.90315E+11,Purish,FLOWFUSHI ,CureQ,others,BEAUTYMAKER
5603855285,BEAUTYMAKER,others,CureQ,FLOWFUSHI ,KOSE
5002178824,CureQ,DASODA,Purish,FLOWFUSHI ,Miche Bloomin
5003293124,Miche Bloomin,DASODA,FLOWFUSHI ,others,Purish
5401745665,Miche Bloomin,KOSE,Purish,DASODA,FLOWFUSHI 
4906721510,LSY,Miche Bloomin,others,FLOWFUSHI ,DASODA
66009353B0,Miche Bloomin,ANGFA,CureQ,Purish,LSY
5207127940,FLOWFUSHI ,DASODA,others,LSY,KOSE
5303610350,KOSE,Purish,ANGFA,BEAUTYMAKER,FLOWFUSHI 
67068671C4,LSY,KOSE,ANGFA,FLOWFUSHI ,CureQ
5704998292,FLOWFUSHI ,Purish,others,LSY,KOSE
5501610271,Miche Bloomin,ANGFA,others,CureQ,FLOWFUSHI 
5607084481,FLOWFUSHI ,CureQ,DASODA,LSY,KOSE
5603477581,BEAUTYMAKER,CureQ,DASODA,KOSE,Purish
65047614A0,BEAUTYMAKER,KOSE,others,LSY,DASODA
66041280B0,Miche Bloomin,others,KOSE,DASODA,CureQ
4902167012,DASODA,FLOWFUSHI ,others,ANGFA,BEAUTYMAKER
5001648520,FLOWFUSHI ,BEAUTYMAKER,ANGFA,DASODA,KOSE
5200167545,DASODA,Miche Bloomin,LSY,others,KOSE
5300513750,DASODA,KOSE,BEAUTYMAKER,CureQ,ANGFA
5106899431,KOSE,CureQ,BEAUTYMAKER,DASODA,ANGFA
5701707794,DASODA,KOSE,others,ANGFA,Miche Bloomin
5001835620,Purish,KOSE,ANGFA,FLOWFUSHI ,BEAUTYMAKER
5104564930,FLOWFUSHI ,Miche Bloomin,DASODA,others,ANGFA
5102757933,KOSE,others,LSY,BEAUTYMAKER,ANGFA
4903316115,DASODA,LSY,ANGFA,FLOWFUSHI ,KOSE
4906819116,Purish,LSY,FLOWFUSHI ,CureQ,ANGFA
70016745F2,ANGFA,BEAUTYMAKER,KOSE,CureQ,others
4902511012,BEAUTYMAKER,CureQ,ANGFA,Purish,others
5600737181,Miche Bloomin,KOSE,LSY,CureQ,ANGFA
66038737B0,FLOWFUSHI ,LSY,KOSE,Purish,others
70037940F2,LSY,Purish,KOSE,DASODA,CureQ
5301665553,Miche Bloomin,BEAUTYMAKER,others,FLOWFUSHI ,LSY
5200008940,CureQ,FLOWFUSHI ,KOSE,Purish,BEAUTYMAKER
65002178A2,Purish,BEAUTYMAKER,KOSE,LSY,ANGFA
5000449324,KOSE,Purish,Miche Bloomin,DASODA,CureQ
5405274762,LSY,DASODA,FLOWFUSHI ,CureQ,Purish
4807044006,ANGFA,KOSE,DASODA,LSY,others
5407219565,LSY,CureQ,FLOWFUSHI ,Purish,ANGFA
70069226F1,Purish,BEAUTYMAKER,FLOWFUSHI ,ANGFA,LSY
5105005930,CureQ,KOSE,ANGFA,BEAUTYMAKER,LSY
5707138591,BEAUTYMAKER,FLOWFUSHI ,ANGFA,others,DASODA
5706987290,DASODA,others,Miche Bloomin,ANGFA,KOSE
67031996C0,Miche Bloomin,KOSE,DASODA,LSY,Purish
65010535A5,Miche Bloomin,DASODA,ANGFA,Purish,others
5605133984,DASODA,LSY,KOSE,Miche Bloomin,CureQ
70042299F0,Miche Bloomin,CureQ,LSY,BEAUTYMAKER,ANGFA
68070089D5,DASODA,others,Purish,ANGFA,FLOWFUSHI 
5503733772,BEAUTYMAKER,Miche Bloomin,KOSE,CureQ,ANGFA
5205852741,Purish,CureQ,DASODA,LSY,ANGFA
5001814025,BEAUTYMAKER,others,CureQ,LSY,KOSE
5706981391,Miche Bloomin,others,LSY,ANGFA,FLOWFUSHI 
5702485692,KOSE,CureQ,BEAUTYMAKER,others,LSY
5207033541,DASODA,Miche Bloomin,FLOWFUSHI ,Purish,LSY
5305889651,Purish,KOSE,FLOWFUSHI ,BEAUTYMAKER,DASODA
5300912555,Purish,BEAUTYMAKER,KOSE,others,CureQ
690701230,Miche Bloomin,FLOWFUSHI ,KOSE,LSY,CureQ
6901293200,others,KOSE,Purish,FLOWFUSHI ,BEAUTYMAKER
4803952302,others,Miche Bloomin,DASODA,ANGFA,KOSE
5003331525,DASODA,KOSE,Purish,ANGFA,Miche Bloomin
5207080843,Purish,Miche Bloomin,KOSE,LSY,DASODA
68008623D3,others,BEAUTYMAKER,CureQ,LSY,KOSE
5305367252,Purish,Miche Bloomin,DASODA,ANGFA,others
4906971915,BEAUTYMAKER,DASODA,Miche Bloomin,ANGFA,CureQ
66055727B0,DASODA,FLOWFUSHI ,KOSE,BEAUTYMAKER,Miche Bloomin
67002815C2,Purish,others,FLOWFUSHI ,LSY,DASODA
70013622F0,Miche Bloomin,DASODA,others,FLOWFUSHI ,CureQ
5600009581,CureQ,KOSE,ANGFA,LSY,others
5307385454,Purish,ANGFA,BEAUTYMAKER,DASODA,others
65028154A3,DASODA,Miche Bloomin,FLOWFUSHI ,Purish,LSY
4905160811,DASODA,Purish,KOSE,FLOWFUSHI ,BEAUTYMAKER
4907094910,others,Purish,ANGFA,DASODA,LSY
5704685494,Miche Bloomin,CureQ,BEAUTYMAKER,LSY,others
5305495251,Purish,DASODA,ANGFA,KOSE,LSY
5705683393,KOSE,Purish,DASODA,FLOWFUSHI ,Miche Bloomin
6.9002E+12,Purish,LSY,Miche Bloomin,FLOWFUSHI ,KOSE
5702007895,Miche Bloomin,others,CureQ,KOSE,ANGFA
5506588770,DASODA,Miche Bloomin,FLOWFUSHI ,Purish,BEAUTYMAKER
4906977515,Miche Bloomin,BEAUTYMAKER,KOSE,LSY,CureQ
70030811F4,BEAUTYMAKER,LSY,ANGFA,CureQ,FLOWFUSHI 
5000401823,others,CureQ,KOSE,BEAUTYMAKER,Miche Bloomin
5701681195,BEAUTYMAKER,KOSE,FLOWFUSHI ,Purish,Miche Bloomin
5700913895,LSY,FLOWFUSHI ,KOSE,CureQ,Purish
690035690,KOSE,DASODA,others,Purish,CureQ
68044297D2,BEAUTYMAKER,FLOWFUSHI ,Purish,ANGFA,LSY
5500921374,Purish,others,ANGFA,BEAUTYMAKER,DASODA
5103038833,FLOWFUSHI ,others,LSY,BEAUTYMAKER,CureQ
5303305152,BEAUTYMAKER,FLOWFUSHI ,ANGFA,KOSE,Purish
5301614153,Purish,KOSE,Miche Bloomin,CureQ,ANGFA
5604426883,KOSE,Miche Bloomin,CureQ,others,BEAUTYMAKER
5507118173,Purish,ANGFA,DASODA,KOSE,others
5702904694,Miche Bloomin,Purish,KOSE,CureQ,others
70070815F3,KOSE,DASODA,FLOWFUSHI ,Purish,LSY
5104182332,BEAUTYMAKER,FLOWFUSHI ,KOSE,Purish,CureQ
5104192033,LSY,Miche Bloomin,CureQ,Purish,FLOWFUSHI 
68020065D2,DASODA,Miche Bloomin,BEAUTYMAKER,FLOWFUSHI ,Purish
68042825D0,others,Miche Bloomin,BEAUTYMAKER,KOSE,CureQ
5402119462,Miche Bloomin,DASODA,CureQ,others,LSY
5704062295,Miche Bloomin,KOSE,CureQ,others,ANGFA
5404313462,Miche Bloomin,others,CureQ,ANGFA,DASODA
5303550650,KOSE,BEAUTYMAKER,Purish,FLOWFUSHI ,DASODA
5105843532,KOSE,others,BEAUTYMAKER,ANGFA,CureQ
68073242D5,LSY,others,ANGFA,CureQ,KOSE
5102030333,Miche Bloomin,others,KOSE,CureQ,DASODA
6.90445E+11,CureQ,KOSE,LSY,ANGFA,FLOWFUSHI 
70071215F3,LSY,Miche Bloomin,Purish,FLOWFUSHI ,others
5500704471,others,BEAUTYMAKER,CureQ,Purish,ANGFA
5403889165,BEAUTYMAKER,ANGFA,others,FLOWFUSHI ,CureQ
5607014182,DASODA,others,BEAUTYMAKER,FLOWFUSHI ,KOSE
5404719563,LSY,others,FLOWFUSHI ,KOSE,Purish
5005969023,CureQ,LSY,others,FLOWFUSHI ,KOSE
67025740C1,others,ANGFA,LSY,BEAUTYMAKER,FLOWFUSHI 
68015417D3,BEAUTYMAKER,Purish,ANGFA,DASODA,KOSE
5102929635,KOSE,DASODA,BEAUTYMAKER,CureQ,ANGFA
5303225353,KOSE,BEAUTYMAKER,Miche Bloomin,CureQ,ANGFA
5003327523,Purish,Miche Bloomin,DASODA,others,FLOWFUSHI 
5103718933,BEAUTYMAKER,FLOWFUSHI ,ANGFA,DASODA,others
67071147C0,ANGFA,BEAUTYMAKER,FLOWFUSHI ,LSY,Purish
5300249150,CureQ,BEAUTYMAKER,KOSE,others,FLOWFUSHI 
66024983B2,LSY,others,FLOWFUSHI ,Miche Bloomin,CureQ
5106524731,Miche Bloomin,KOSE,BEAUTYMAKER,DASODA,others
65037796A3,DASODA,ANGFA,CureQ,BEAUTYMAKER,LSY
4801541605,KOSE,others,LSY,FLOWFUSHI ,ANGFA
5507465074,DASODA,Miche Bloomin,others,BEAUTYMAKER,ANGFA
67019399C2,KOSE,others,DASODA,CureQ,Purish
5006910520,Purish,KOSE,FLOWFUSHI ,ANGFA,DASODA
5401928462,KOSE,DASODA,FLOWFUSHI ,CureQ,LSY
